Player & Team,Player,Team,Pos,TOI,PDO,ZSR,G/60,d ixGF,iCF/60,iSh%,A1/60,sA1,GA/60,d xGA,CA/60,PP Sample Size,Poss Entry Rate,Poss Entry %,Poss Exits Rate,Poss Exit %,Entries Denied Rate,Denial %,Avg
BRAD.MARCHAND.BOS,BRAD MARCHAND (BOS),BOS,F,8,10,7,9,9,6,8,10,8,10,9,9,5,7,8,7,8,,,8
ARTEMI.PANARIN.CBJ,ARTEMI PANARIN (CBJ),CBJ,F,8,6,8,4,5,7,4,7,10,8,8,8,9,6,8,6,9,,,7.5
CONNOR.MCDAVID.EDM,CONNOR MCDAVID (EDM),EDM,F,9,6,6,6,4,7,5,8,10,5,6,5,6,10,10,3,10,,,7.5
JADEN.SCHWARTZ.STL,JADEN SCHWARTZ (STL),STL,F,8,10,8,8,7,4,8,10,9,10,9,7,5,7,8,6,7,,,7.5
NIKITA.KUCHEROV.TBL,NIKITA KUCHEROV (TBL),TBL,F,8,8,8,10,10,7,9,6,10,6,6,4,8,7,8,5,6,,,7.5
PATRICK.KANE.CHI,PATRICK KANE (CHI),CHI,F,8,5,9,8,8,8,6,8,10,3,5,4,9,10,8,5,9,,,7.5
SHAYNE.GOSTISBEHERE.PHI,SHAYNE GOSTISBEHERE (PHI),PHI,D,6,7,7,7,7,7,6,6,6,8,7,8,10,8,8,7,8,4,9,7.5
AUSTON.MATTHEWS.TOR,AUSTON MATTHEWS (TOR),TOR,F,7,10,5,10,9,8,9,6,8,8,9,3,6,4,9,6,5,,,7
CLAUDE.GIROUX.PHI,CLAUDE GIROUX (PHI),PHI,F,8,7,4,6,6,4,7,7,8,6,5,8,10,6,6,6,7,,,7
DAVID.PASTRNAK.BOS,DAVID PASTRNAK (BOS),BOS,F,7,9,8,8,8,6,7,7,7,8,8,8,5,8,5,6,5,,,7
DMITRY.ORLOV.WSH,DMITRY ORLOV (WSH),WSH,D,7,6,4,9,8,4,9,3,8,6,6,6,6,10,8,6,7,7,9,7
ERIK.KARLSSON.OTT,ERIK KARLSSON (OTT),OTT,D,9,1,7,3,2,8,3,8,10,0,0,6,5,6,9,9,9,8,9,7
EVGENY.KUZNETSOV.WSH,EVGENY KUZNETSOV (WSH),WSH,F,7,7,7,7,7,5,7,8,9,5,7,2,6,8,9,8,8,,,7
IVAN.PROVOROV.PHI,IVAN PROVOROV (PHI),PHI,D,8,5,4,7,6,6,6,6,6,6,6,6,10,7,7,4,7,5,8,7
JAKUB.VORACEK.PHI,JAKUB VORACEK (PHI),PHI,F,8,8,5,5,5,5,5,10,7,7,7,6,10,8,7,6,6,,,7
JOHNNY.GAUDREAU.CGY,JOHNNY GAUDREAU (CGY),CGY,F,8,8,7,6,6,5,6,10,7,6,7,6,6,9,8,5,8,,,7
JONATHAN.TOEWS.CHI,JONATHAN TOEWS (CHI),CHI,F,8,6,7,6,5,6,5,7,9,6,7,6,8,6,8,7,7,,,7
LEON.DRAISAITL.EDM,LEON DRAISAITL (EDM),EDM,F,7,6,7,5,5,4,5,10,10,4,5,6,5,9,7,7,9,,,7
MATHEW.BARZAL.NYI,MATHEW BARZAL (NYI),NYI,F,6,6,6,7,6,5,6,10,10,4,4,5,7,8,9,5,9,,,7
NATHAN.MACKINNON.COL,NATHAN MACKINNON (COL),COL,F,8,7,7,9,8,8,7,10,4,3,3,5,6,5,9,5,8,,,7
ONDREJ.KASE.ANA,ONDREJ KASE (ANA),ANA,F,4,7,6,10,10,8,9,7,5,7,6,7,4,8,8,6,6,,,7
PATRICE.BERGERON.BOS,PATRICE BERGERON (BOS),BOS,F,8,9,8,8,7,10,5,7,7,9,9,9,4,6,6,3,6,,,7
RYAN.SPOONER.BOS,RYAN SPOONER (BOS),BOS,F,4,9,10,8,10,3,9,8,7,8,6,8,3,6,7,4,9,,,7
SETH.JONES.CBJ,SETH JONES (CBJ),CBJ,D,8,5,7,7,5,8,5,8,8,7,7,8,8,6,8,5,7,4,4,7
VLADIMIR.TARASENKO.STL,VLADIMIR TARASENKO (STL),STL,F,8,9,10,8,7,10,6,6,4,8,8,5,6,7,8,5,7,,,7
ZACH.WERENSKI.CBJ,ZACH WERENSKI (CBJ),CBJ,D,7,5,7,9,7,7,7,4,8,7,6,8,8.0,8,8,5,9,5,8,7
ALEX.DEBRINCAT.CHI,ALEX DEBRINCAT (CHI),CHI,F,5,6,7,7,7,8,6,5,5,5,5,7,7,6,6,7,8,,,6.5
ALEX.PIETRANGELO.STL,ALEX PIETRANGELO (STL),STL,D,8,7,5,6,6,6,6,7,8,8,8,4,5,9,5,10,6,5,4,6.5
ANZE.KOPITAR.LAK,ANZE KOPITAR (LAK),LAK,F,9,7,5,6,7,4,8,8,9,7,7,6,6,4,9,4,6,,,6.5
BRANDON.SAAD.CHI,BRANDON SAAD (CHI),CHI,F,7,5,8,6,4,9,5,5,6,5,5,6,7,9,7,4,9,,,6.5
BRAYDEN.POINT.TBL,BRAYDEN POINT (TBL),TBL,F,8,9,5,8,7,6,8,8,6,7,6,5,7,6,8,6,6,,,6.5
DREW.DOUGHTY.LAK,DREW DOUGHTY (LAK),LAK,D,10,5,5,5,5,4,5,5,6,6,6,7,6,8,7,5,10,4,7,6.5
JACK.EICHEL.BUF,JACK EICHEL (BUF),BUF,F,8,4,8,7,8,7,6,7,8,3,4,4,5,7,8,6,6,,,6.5
JONATHAN.MARCHESSAULT.VGK,JONATHAN MARCHESSAULT (VGK),VGK,F,6,7,6,7,4,10,5,10,7,5,5,7,5,8,6,7,3,,,6.5
KEVIN.FIALA.NSH,KEVIN FIALA (NSH),NSH,F,5,6,7,7,5,9,5,5,7,7,7,6,6,7,8,6,8,,,6.5
NICK.SCHMALTZ.CHI,NICK SCHMALTZ (CHI),CHI,F,7,6,8,7,8,3,9,5,8,5,6,5,6,7,9,6,8,,,6.5
NICKLAS.BACKSTROM.WSH,NICKLAS BACKSTROM (WSH),WSH,F,8,8,5,4,5,4,4,7,8,8,9,6,6,7,6,6,9,,,6.5
NIKOLAJ.EHLERS.WPG,NIKOLAJ EHLERS (WPG),WPG,F,6,4,6,6,6,9,5,5,6,4,4,6,6,10,6,10,7,,,6.5
NOAH.HANIFIN.CAR,NOAH HANIFIN (CAR),CAR,D,4,4,9,7,6,7,6,9,7,4,3,8,3,6,10,4,6,8,4,6.5
P.K..SUBBAN.NSH,P.K. SUBBAN (NSH),NSH,D,8,7,3,9,10,5,8,6,6,8,8,6,7,4,6,7,6,3,9,6.5
ROMAN.JOSI.NSH,ROMAN JOSI (NSH),NSH,D,8,5,5,6,5,8,5,9,6,5,5,5,6,10,7,5,7,5,5,6.5
